site,census,code,genus,species,n10g,r10g,f10g,l10g,u10g,n50g,r50g,f50g,l50g,u50g,n100g,r100g,f100g,l100g, 
BCI,1995-2000,bc4,Cupania,latifolia,18,1.76,1.805,1.224,2.674,5,1.06,0.98,0.453,2.054,10,2.912,1.982,1.05,3.719
BCI,1995-2000,bc4,Cupania,rufescens,66,2.097,2.098,1.689,2.62,7,1.535,1.245,0.705,2.435,1,0.764,0.696,0.256,2.236
BCI,1995-2000,bc4,Cupania,seemannii,812,1.892,1.889,1.773,2.005,140,1.13,1.122,0.94,1.328,37,0.76,0.753,0.526,1.139
BCI,1995-2000,bc4,Dendropanax,arboreus,8,2.62,2.43,1.417,3.972,15,0.973,0.966,0.563,1.622,77,0.446,0.456,0.357,0.584
BCI,1995-2000,bc4,Desmopsis,panamensis,9242,1.649,1.651,1.618,1.683,821,0.492,0.493,0.456,0.529,11,0.412,0.474,0.253,0.884
BCI,1995-2000,bc4,Diospyros,artanthifolia,50,2.259,2.234,1.75,2.925,10,1.117,1.057,0.588,1.863,15,0.673,0.681,0.383,1.197
BCI,1995-2000,bc4,Dipteryx,oleifera,8,2.517,2.346,1.335,3.967,4,0.52,0.69,0.33,1.478,31,0.714,0.707,0.484,1.047
BCI,1995-2000,bc4,Drypetes,standleyi,1353,1.312,1.313,1.248,1.38,412,0.797,0.797,0.721,0.887,268,0.8,0.791,0.692,0.922
BCI,1995-2000,bc4,Enterolobium,schomburgkii,6,2.933,2.518,1.463,4.446,4,1.378,1.085,0.526,2.275,2,0.087,0.341,0.138,0.969
BCI,1995-2000,bc4,Erythrina,costaricensis,31,1.109,1.195,0.874,1.637,51,0.477,0.503,0.374,0.656,24,0.33,0.363,0.231,0.565
BCI,1995-2000,bc4,Erythroxylum,macrophyllum,169,1.367,1.384,1.197,1.576,17,1.134,1.101,0.686,1.819,15,0.653,0.678,0.402,1.114
BCI,1995-2000,bc4,Erythroxylum,panamense,87,1.511,1.537,1.266,1.865,2,0.547,0.773,0.329,1.87,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Eugenia,coloradoensis,437,1.374,1.378,1.271,1.501,102,0.901,0.899,0.73,1.114,71,1.074,1.054,0.79,1.381
BCI,1995-2000,bc4,Eugenia,galalonensis,1242,1.495,1.498,1.423,1.574,58,0.719,0.731,0.563,0.958,9,1.683,1.308,0.698,2.433
BCI,1995-2000,bc4,Eugenia,nesiotica,371,1.131,1.137,1.032,1.249,42,0.637,0.659,0.474,0.907,52,0.433,0.451,0.323,0.617
BCI,1995-2000,bc4,Eugenia,oerstediana,1267,1.524,1.524,1.449,1.613,291,1.048,1.048,0.937,1.198,154,1.053,1.036,0.873,1.252
BCI,1995-2000,bc4,Faramea,occidentalis,16923,2.116,2.116,2.086,2.146,6189,0.839,0.84,0.818,0.862,1496,0.596,0.597,0.56,0.633
BCI,1995-2000,bc4,Ficus,bullenei,1,23.782,3.111,1.492,6.98,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Ficus,citrifolia,1,4.997,2.384,1.07,5.356,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Ficus,colubrinae,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0.449,0.641,0.21,1.916
BCI,1995-2000,bc4,Ficus,costaricana,1,1.604,1.902,0.832,4.231,0,NA,NA,NA,NA,6,0.032,0.108,0.048,0.23
BCI,1995-2000,bc4,Ficus,insipida,2,4.263,2.549,1.177,5.453,1,2.113,1.105,0.436,2.863,2,0.67,0.694,0.286,1.765
BCI,1995-2000,bc4,Ficus,maxima,2,2.544,2.164,1.048,4.6,2,7.801,1.891,0.797,4.747,3,0.544,0.632,0.248,1.6
BCI,1995-2000,bc4,Ficus,obtusifolia,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,2.544,1.393,0.58,3.105
BCI,1995-2000,bc4,Ficus,pertusa,1,12.797,2.732,1.246,6.118,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Ficus,popenoei,0,NA,NA,NA,NA,1,3.871,1.165,0.446,3.111,3,0.166,0.369,0.156,0.946
BCI,1995-2000,bc4,Ficus,tonduzii,2,5.178,2.78,1.347,5.689,8,0.947,0.964,0.5,1.768,16,0.403,0.444,0.259,0.74
BCI,1995-2000,bc4,Ficus,trigonata,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,0.681,0.675,0.291,1.617
BCI,1995-2000,bc4,Ficus,yoponensis,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,0.786,0.734,0.307,1.661
BCI,1995-2000,bc4,Garcinia,intermedia,3472,1.71,1.71,1.662,1.764,422,0.933,0.934,0.843,1.039,88,0.633,0.635,0.492,0.804
BCI,1995-2000,bc4,Garcinia,madruno,297,1.863,1.866,1.686,2.07,28,1.161,1.126,0.791,1.647,8,0.492,0.546,0.29,1.062
BCI,1995-2000,bc4,Genipa,americana,32,0.872,0.968,0.73,1.269,13,0.453,0.541,0.313,0.954,21,0.862,0.838,0.53,1.334
BCI,1995-2000,bc4,Guapira,standleyana,29,1.438,1.486,1.113,2.057,36,0.544,0.58,0.406,0.819,94,0.586,0.588,0.464,0.743
BCI,1995-2000,bc4,Guarea,grandifolia,33,1.112,1.192,0.877,1.61,14,0.506,0.592,0.353,0.97,9,0.649,0.653,0.319,1.231
BCI,1995-2000,bc4,Guarea,guidonia,1054,1.705,1.706,1.619,1.806,241,0.925,0.925,0.815,1.063,339,0.423,0.423,0.377,0.488
BCI,1995-2000,bc4,Guatteria,dumetorum,462,1.45,1.452,1.338,1.574,231,0.69,0.695,0.609,0.805,194,0.623,0.625,0.527,0.735
BCI,1995-2000,bc4,Guazuma,ulmifolia,6,5.82,3.759,2.145,6.42,2,10.392,2.126,0.872,4.87,34,1.15,1.107,0.742,1.594
BCI,1995-2000,bc4,Guettarda,foliacea,145,1.65,1.651,1.419,1.93,70,0.602,0.62,0.478,0.798,71,0.348,0.36,0.271,0.479
BCI,1995-2000,bc4,Gustavia,superba,25,3.023,2.836,2.006,3.89,84,0.628,0.641,0.511,0.789,612,0.401,0.402,0.362,0.441
BCI,1995-2000,bc4,Hamelia,axillaris,55,2.402,2.373,1.863,2.992,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Hamelia,patens,1,0.55,1.6,0.729,3.601,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Hampea,appendiculata,1,13.98,2.862,1.231,6.366,1,0.708,0.891,0.354,2.197,7,2.133,1.438,0.68,2.992
BCI,1995-2000,bc4,Hasseltia,floribunda,158,1.657,1.662,1.437,1.92,154,0.811,0.813,0.684,0.964,182,0.685,0.683,0.576,0.809
BCI,1995-2000,bc4,Heisteria,acuminata,56,2.225,2.191,1.729,2.824,40,0.73,0.743,0.546,1.043,7,0.297,0.4,0.186,0.828
BCI,1995-2000,bc4,Heisteria,concinna,471,2.746,2.73,2.517,2.977,173,1.281,1.27,1.087,1.488,272,0.549,0.552,0.479,0.638
BCI,1995-2000,bc4,Herrania,purpurea,409,1.36,1.364,1.258,1.49,39,0.362,0.393,0.286,0.545,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Hieronyma,alchorneoides,21,1.387,1.466,1.013,2.125,11,0.957,0.933,0.551,1.69,35,0.74,0.732,0.508,1.073
BCI,1995-2000,bc4,Hirtella,americana,16,1.085,1.225,0.81,1.818,7,1.026,1.012,0.513,1.911,3,1.386,0.967,0.401,2.511
BCI,1995-2000,bc4,Hirtella,triandra,3073,1.638,1.637,1.584,1.694,755,0.951,0.954,0.881,1.031,638,0.617,0.617,0.563,0.68
BCI,1995-2000,bc4,Hura,crepitans,1,0.278,1.34,0.578,3.196,5,0.905,0.941,0.463,1.961,93,0.564,0.573,0.452,0.724
BCI,1995-2000,bc4,Hybanthus,prunifolius,27992,1.493,1.493,1.477,1.51,441,0.431,0.434,0.39,0.478,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Inga,acuminata,221,2.977,2.94,2.603,3.349,63,2.703,2.526,1.944,3.29,22,1.411,1.283,0.809,1.998
BCI,1995-2000,bc4,Inga,goldmanii,205,1.593,1.599,1.421,1.808,62,1.038,1.032,0.766,1.322,34,1.006,0.976,0.665,1.426
BCI,1995-2000,bc4,Inga,laurina,45,1.884,1.898,1.448,2.416,15,1.321,1.233,0.751,1.957,9,0.793,0.755,0.38,1.435
BCI,1995-2000,bc4,Inga,marginata,181,2.5,2.483,2.153,2.848,53,3.93,3.583,2.663,4.7,74,4.631,4.223,3.133,5.478
BCI,1995-2000,bc4,Inga,mucuna,0,NA,NA,NA,NA,1,0.817,0.902,0.323,2.36,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Inga,nobilis,398,1.833,1.836,1.666,2.007,164,0.891,0.891,0.757,1.053,59,0.62,0.62,0.46,0.833
BCI,1995-2000,bc4,Inga,oerstediana,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,1.389,0.893,0.327,2.444
BCI,1995-2000,bc4,Inga,pezizifera,63,2.125,2.129,1.724,2.682,27,1.845,1.697,1.173,2.488,14,2.627,1.995,1.151,3.475
BCI,1995-2000,bc4,Inga,punctata,7,2.858,2.544,1.479,4.578,2,7.25,1.835,0.811,4.543,6,1.664,1.224,0.551,2.65
BCI,1995-2000,bc4,Inga,ruiziana,3,2.787,2.252,1.12,4.513,3,1.114,0.995,0.431,2.27,4,1.336,0.952,0.418,2.339
BCI,1995-2000,bc4,Inga,sapindoides,108,1.89,1.898,1.605,2.271,58,1.022,1.013,0.781,1.334,61,1.019,1.002,0.755,1.342
BCI,1995-2000,bc4,Inga,spectabilis,3,2.45,2.186,1.137,4.573,2,1.285,1.022,0.433,2.294,11,1.544,1.254,0.683,2.23
BCI,1995-2000,bc4,Inga,umbellifera,584,1.504,1.505,1.393,1.625,164,0.723,0.728,0.615,0.857,11,0.683,0.676,0.372,1.3
BCI,1995-2000,bc4,Jacaranda,copaia,8,5.965,4.006,2.309,6.699,17,2.439,2.025,1.262,3.26,220,1.619,1.592,1.369,1.861
BCI,1995-2000,bc4,Koanophyllon,wetmorei,1,1.604,1.929,0.891,4.197,1,0.366,0.753,0.296,1.972,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Lacistema,aggregatum,1131,1.563,1.564,1.484,1.651,87,0.703,0.715,0.572,0.883,24,0.404,0.433,0.275,0.668
BCI,1995-2000,bc4,Lacmellea,panamensis,23,4.756,4.182,2.921,5.899,22,1.416,1.342,0.863,2.043,46,0.73,0.723,0.525,1.011
BCI,1995-2000,bc4,Laetia,procera,6,3.214,2.661,1.439,4.644,8,1.76,1.444,0.744,2.613,11,1.713,1.37,0.727,2.43
BCI,1995-2000,bc4,Laetia,thamnia,294,1.735,1.738,1.566,1.933,89,1.138,1.132,0.919,1.416,23,0.612,0.625,0.385,0.975
BCI,1995-2000,bc4,Lafoensia,punicifolia,0,NA,NA,NA,NA,2,2.817,1.322,0.539,3.179,4,0.964,0.836,0.347,1.968
BCI,1995-2000,bc4,Licania,hypoleuca,90,1.148,1.175,0.967,1.419,18,0.534,0.6,0.382,0.905,9,0.193,0.284,0.147,0.565
BCI,1995-2000,bc4,Licania,platypus,219,1.421,1.433,1.255,1.629,25,0.636,0.668,0.461,0.98,7,0.822,0.763,0.374,1.526
BCI,1995-2000,bc4,Lindackeria,laurina,5,1.198,1.515,0.83,2.663,8,0.507,0.605,0.316,1.158,51,0.316,0.333,0.239,0.448
BCI,1995-2000,bc4,Lonchocarpus,heptaphyllus,426,1.63,1.635,1.485,1.783,120,0.721,0.726,0.605,0.894,105,0.371,0.379,0.301,0.472
BCI,1995-2000,bc4,Lozania,pittieri,2,0.852,1.505,0.73,3.161,1,0.897,0.934,0.35,2.519,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Luehea,seemannii,39,2.204,2.188,1.691,2.876,34,1.177,1.15,0.811,1.613,82,0.545,0.552,0.43,0.708
BCI,1995-2000,bc4,Maclura,tinctoria,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,4.557,1.015,0.339,3.024
BCI,1995-2000,bc4,Macrocnemum,roseum,45,1.954,1.964,1.509,2.571,16,0.833,0.866,0.519,1.395,24,0.549,0.576,0.37,0.892
BCI,1995-2000,bc4,Malpighia,romeroana,38,1.225,1.281,0.963,1.732,1,2.629,1.148,0.438,2.619,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Maquira,guianensis,884,2.016,2.019,1.889,2.149,339,0.856,0.857,0.771,0.968,134,0.313,0.319,0.261,0.393
BCI,1995-2000,bc4,Margaritaria,nobilis,0,NA,NA,NA,NA,1,5.119,1.332,0.543,3.676,2,0.704,0.7,0.265,1.801
BCI,1995-2000,bc4,Marila,laxiflora,8,1.876,1.897,1.093,3.248,1,2.714,1.178,0.44,3.152,7,0.203,0.306,0.151,0.628
BCI,1995-2000,bc4,Maytenus,schippii,37,1.314,1.371,1.056,1.806,22,0.692,0.728,0.488,1.113,19,0.649,0.657,0.408,1.073
BCI,1995-2000,bc4,Miconia,affinis,201,3.424,3.378,2.968,3.87,47,1.319,1.273,0.935,1.685,4,0.379,0.518,0.222,1.238
BCI,1995-2000,bc4,Miconia,argentea,222,4.067,4.001,3.541,4.502,73,2.613,2.503,1.916,3.221,53,1.795,1.682,1.242,2.333
BCI,1995-2000,bc4,Miconia,elata,8,1.506,1.651,1.009,2.819,3,0.668,0.8,0.342,1.721,1,0.057,0.426,0.15,1.291
BCI,1995-2000,bc4,Miconia,hondurensis,29,3.659,3.374,2.433,4.604,8,1.26,1.133,0.619,2.118,6,1.034,0.884,0.418,1.828
BCI,1995-2000,bc4,Miconia,impetiolaris,8,1.891,1.923,1.175,3.271,1,1.143,0.986,0.377,2.656,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Miconia,nervosa,127,3.5,3.44,2.955,3.991,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Miconia,prasina,1,1.147,1.839,0.845,3.829,1,2.756,1.155,0.452,2.954,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Mosannona,garwoodii,286,1.867,1.866,1.679,2.082,73,0.518,0.535,0.416,0.682,15,0.224,0.283,0.161,0.486
BCI,1995-2000,bc4,Mouriri,myrtilloides,5618,1.464,1.464,1.424,1.5,48,0.573,0.595,0.447,0.796,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Myrcia,gatunensis,31,1.822,1.845,1.376,2.436,3,1.849,1.23,0.561,2.861,5,0.295,0.427,0.191,0.933
BCI,1995-2000,bc4,Myrospermum,frutescens,4,0.706,1.225,0.662,2.298,3,0.259,0.54,0.228,1.189,6,0.307,0.417,0.197,0.902
BCI,1995-2000,bc4,Nectandra,cissiflora,100,2.59,2.571,2.14,3.05,34,1.601,1.517,1.083,2.11,24,2.038,1.763,1.146,2.824
BCI,1995-2000,bc4,Nectandra,lineata,52,2.611,2.55,2.021,3.265,3,9.339,2.496,1.124,5.466,9,1.917,1.417,0.731,2.588
BCI,1995-2000,bc4,Nectandra,purpurea,48,3.065,2.971,2.304,3.83,11,1.505,1.341,0.785,2.401,2,3.264,1.213,0.438,3.294
BCI,1995-2000,bc4,Neea,amplifolia,45,1.459,1.499,1.137,1.927,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Ochroma,pyramidale,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0.544,0.66,0.221,1.806
BCI,1995-2000,bc4,Ocotea,cernua,116,1.724,1.729,1.451,2.047,28,1.463,1.371,0.932,1.996,23,0.757,0.74,0.48,1.191
BCI,1995-2000,bc4,Ocotea,oblonga,49,4.228,4.005,3.117,5.184,20,2.947,2.434,1.568,3.716,30,4.267,3.46,2.369,5.159
BCI,1995-2000,bc4,Ocotea,puberula,62,2.284,2.266,1.832,2.836,16,1.908,1.635,1.058,2.703,20,2.52,2.021,1.238,3.279
BCI,1995-2000,bc4,Ocotea,whitei,144,2.65,2.618,2.264,3.06,88,2.102,2.045,1.61,2.555,142,1.63,1.598,1.324,1.942
BCI,1995-2000,bc4,Ormosia,amazonica,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0.091,0.457,0.148,1.326
BCI,1995-2000,bc4,Ormosia,coccinea,54,2.192,2.187,1.736,2.708,16,0.446,0.52,0.313,0.839,4,0.474,0.568,0.248,1.298
BCI,1995-2000,bc4,Ormosia,macrocalyx,83,1.433,1.46,1.206,1.771,4,0.675,0.78,0.359,1.579,3,0.346,0.506,0.207,1.385
BCI,1995-2000,bc4,Ouratea,lucens,1017,1.293,1.295,1.226,1.368,32,0.432,0.472,0.332,0.649,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Pachira,quinata,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1.706,0.863,0.281,2.489
BCI,1995-2000,bc4,Pachira,sessilis,4,1.853,1.947,1.003,3.762,3,1.59,1.151,0.529,2.776,8,0.446,0.517,0.241,0.997
BCI,1995-2000,bc4,Palicourea,guianensis,221,8.948,8.688,7.732,9.704,6,1.229,1.109,0.568,2.195,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Pentagonia,macrophylla,252,1.11,1.123,1.003,1.258,21,0.48,0.539,0.339,0.811,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Perebea,xanthochyma,160,1.916,1.919,1.666,2.206,49,0.827,0.837,0.613,1.147,20,0.368,0.409,0.256,0.653
BCI,1995-2000,bc4,Picramnia,latifolia,723,1.563,1.569,1.465,1.671,126,0.477,0.489,0.406,0.594,36,0.511,0.523,0.355,0.75
BCI,1995-2000,bc4,Piper,aequale,15,1.451,1.544,1.039,2.427,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Piper,arboreum,17,1.665,1.729,1.164,2.552,2,2.069,1.239,0.494,2.867,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Piper,colonense,11,2.05,2.045,1.335,3.18,6,0.41,0.576,0.284,1.091,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Piper,cordulatum,77,1.412,1.444,1.172,1.742,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Piper,imperialis,1,3.907,2.304,1.063,4.876,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Piper,perlasense,14,1.343,1.467,0.969,2.315,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Piper,reticulatum,49,2.127,2.09,1.607,2.743,37,0.564,0.586,0.421,0.824,8,0.653,0.657,0.348,1.304
BCI,1995-2000,bc4,Platymiscium,pinnatum,57,1.987,1.988,1.558,2.488,11,0.392,0.497,0.285,0.836,53,0.364,0.381,0.277,0.537
BCI,1995-2000,bc4,Platypodium,elegans,45,1.656,1.69,1.287,2.152,28,0.51,0.553,0.376,0.816,34,0.477,0.5,0.336,0.728
BCI,1995-2000,bc4,Posoqueria,latifolia,43,1.392,1.425,1.102,1.859,14,0.942,0.931,0.561,1.591,13,0.317,0.374,0.211,0.689
BCI,1995-2000,bc4,Poulsenia,armata,253,2.623,2.613,2.332,2.891,535,1.073,1.075,0.977,1.176,555,0.627,0.624,0.566,0.694
BCI,1995-2000,bc4,Pourouma,bicolor,22,3.753,3.378,2.368,4.777,8,2.223,1.659,0.895,3.016,11,1.628,1.299,0.685,2.403
BCI,1995-2000,bc4,Pouteria,fossicola,1,2.291,1.999,0.9,4.641,0,NA,NA,NA,NA,2,0.203,0.464,0.17,1.206
BCI,1995-2000,bc4,Pouteria,reticulata,945,1.323,1.325,1.245,1.402,127,1.057,1.056,0.887,1.282,187,1.334,1.315,1.09,1.567
BCI,1995-2000,bc4,Pouteria,stipitata,31,1.376,1.443,1.045,1.977,8,0.953,0.938,0.486,1.87,27,0.556,0.565,0.371,0.911
BCI,1995-2000,bc4,Prioria,copaifera,749,1.507,1.508,1.41,1.608,256,0.836,0.838,0.744,0.952,327,1.004,1.003,0.875,1.153
BCI,1995-2000,bc4,Protium,confusum,2,1.823,1.933,0.916,3.945,1,1.777,1.093,0.436,2.722,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Protium,costaricense,422,1.755,1.756,1.613,1.919,163,1.023,1.019,0.864,1.194,90,0.662,0.661,0.52,0.851
BCI,1995-2000,bc4,Protium,panamense,2238,1.536,1.537,1.483,1.596,325,0.696,0.701,0.622,0.795,38,0.429,0.447,0.318,0.65
BCI,1995-2000,bc4,Protium,tenuifolium,1838,1.681,1.682,1.614,1.757,342,1.091,1.087,0.965,1.225,349,0.626,0.624,0.553,0.714
BCI,1995-2000,bc4,Pseudobombax,septenatum,2,0.95,1.527,0.736,3.116,4,3.672,1.84,0.898,4.022,7,0.673,0.673,0.331,1.38
BCI,1995-2000,bc4,Psidium,friedrichsthalianum,39,1.29,1.351,1.035,1.787,4,0.202,0.453,0.196,0.95,4,0.239,0.39,0.178,0.899
BCI,1995-2000,bc4,Psychotria,acuminata,4,2.221,2.115,1.096,4.026,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,chagrensis,2,1.548,1.83,0.893,3.791,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,deflexa,6,2.09,2.007,1.171,3.673,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,graciliflora,24,3.869,3.464,2.496,4.828,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,grandis,33,1.82,1.831,1.379,2.51,3,1.738,1.246,0.54,2.637,1,2.677,0.916,0.353,2.788
BCI,1995-2000,bc4,Psychotria,horizontalis,3221,1.718,1.718,1.666,1.771,3,0.277,0.552,0.237,1.27,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,limonensis,6,1.189,1.467,0.847,2.593,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,marginata,371,1.99,1.995,1.815,2.197,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,pittieri,1,4.493,2.328,0.982,4.976,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Psychotria,psychotriifolia,1,9.755,2.723,1.151,5.958,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Pterocarpus,belizensis,2,1.681,1.869,0.899,3.804,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Pterocarpus,rohrii,1041,1.456,1.456,1.378,1.542,159,0.611,0.616,0.522,0.736,63,0.294,0.31,0.232,0.427
BCI,1995-2000,bc4,Quararibea,asterolepis,1000,1.568,1.57,1.481,1.666,375,0.836,0.836,0.75,0.929,669,0.682,0.682,0.624,0.749
BCI,1995-2000,bc4,Quassia,amara,68,1.153,1.196,0.974,1.462,52,0.395,0.423,0.319,0.553,3,0.119,0.31,0.128,0.809
BCI,1995-2000,bc4,Randia,armata,497,1.504,1.507,1.389,1.649,221,0.822,0.824,0.716,0.944,225,0.404,0.409,0.348,0.478
BCI,1995-2000,bc4,Rauvolfia,littoralis,1,15.902,2.853,1.387,6.471,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Rinorea,sylvatica,2023,1.331,1.333,1.28,1.388,41,0.621,0.639,0.472,0.868,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Rosenbergiodendron,formosum,2,2.121,2.039,0.983,4.117,2,0.322,0.666,0.275,1.653,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Sapium,glandulosum,4,2.017,2.014,1.03,3.736,7,1.532,1.287,0.688,2.381,15,0.49,0.532,0.305,0.923
BCI,1995-2000,bc4,Schizolobium,parahyba,5,6.514,3.754,2.111,7.078,7,2.255,1.668,0.886,3.358,2,0.736,0.721,0.276,1.935
BCI,1995-2000,bc4,Senna,dariensis,30,2.838,2.684,1.991,3.784,7,0.77,0.837,0.419,1.526,1,1.969,0.893,0.315,2.546
BCI,1995-2000,bc4,Simarouba,amara,461,2.862,2.858,2.632,3.119,170,1.475,1.465,1.252,1.735,225,1.661,1.644,1.407,1.92
BCI,1995-2000,bc4,Siparuna,guianensis,2,0.683,1.408,0.693,2.979,13,1.637,1.44,0.883,2.416,9,0.539,0.593,0.29,1.174
BCI,1995-2000,bc4,Siparuna,pauciflora,100,2.121,2.117,1.759,2.542,56,0.53,0.55,0.419,0.731,12,0.401,0.454,0.264,0.822
BCI,1995-2000,bc4,Sloanea,terniflora,326,1.001,1.009,0.91,1.108,82,0.403,0.419,0.332,0.527,69,0.361,0.374,0.275,0.488
BCI,1995-2000,bc4,Solanum,asperum,0,NA,NA,NA,NA,1,2.577,1.124,0.435,2.923,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Solanum,hayesii,5,19.306,6.774,3.671,12.758,6,3.444,2,1.019,4.029,9,1.704,1.301,0.654,2.514
BCI,1995-2000,bc4,Solanum,steyermarkii,1,10.184,2.731,1.238,6.133,0,NA,NA,NA,NA,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Sorocea,affinis,2129,1.497,1.498,1.44,1.563,516,0.521,0.523,0.477,0.575,18,0.289,0.341,0.205,0.574
BCI,1995-2000,bc4,Spachea,membranacea,0,NA,NA,NA,NA,4,0.335,0.556,0.26,1.229,8,0.172,0.271,0.132,0.517
BCI,1995-2000,bc4,Spondias,mombin,22,2.158,2.136,1.509,3.02,16,3.152,2.457,1.527,4.089,24,1.294,1.212,0.755,1.87
BCI,1995-2000,bc4,Spondias,radlkoferi,54,1.535,1.571,1.212,1.947,28,1.144,1.125,0.77,1.643,58,0.965,0.947,0.708,1.272
BCI,1995-2000,bc4,Sterculia,apetala,13,2.275,2.192,1.42,3.388,10,0.811,0.851,0.482,1.542,23,0.654,0.654,0.414,1.058
BCI,1995-2000,bc4,Stylogyne,turbacensis,505,1.43,1.433,1.326,1.551,20,0.353,0.414,0.261,0.655,0,NA,NA,NA,NA
BCI,1995-2000,bc4,Swartzia,simplex_var.grandiflora,1983,1.362,1.361,1.309,1.422,259,0.601,0.605,0.533,0.692,208,0.346,0.35,0.3,0.415
BCI,1995-2000,bc4,Swartzia,simplex_var.ochnacea,2118,1.114,1.115,1.074,1.159,482,0.402,0.404,0.365,0.445,114,0.301,0.311,0.251,0.38
BCI,1995-2000,bc4,Symphonia,globulifera,93,2.657,2.619,2.162,3.128,19,1.202,1.146,0.732,1.803,19,1.296,1.194,0.74,1.97
BCI,1995-2000,bc4,Tabebuia,guayacan,29,1.216,1.299,0.936,1.759,10,0.537,0.64,0.35,1.124,30,0.594,0.611,0.404,0.908
BCI,1995-2000,bc4,Tabebuia,rosea,122,1.564,1.58,1.348,1.844,38,0.666,0.691,0.481,0.966,58,0.391,0.405,0.302,0.537
BCI,1995-2000,bc4,Tabernaemontana,arborea,843,1.879,1.879,1.765,2.005,172,1.756,1.743,1.47,2.051,294,1.165,1.156,1.003,1.33
BCI,1995-2000,bc4,Tachigali,versicolor,1885,1.788,1.789,1.716,1.874,173,1.242,1.233,1.053,1.446,75,1.553,1.496,1.155,1.925
BCI,1995-2000,bc4,Talisia,nervosa,667,0.957,0.963,0.892,1.035,49,0.411,0.441,0.326,0.58,1,0.094,0.458,0.151,1.388
BCI,1995-2000,bc4,Talisia,princeps,502,1.288,1.291,1.191,1.41,41,0.359,0.392,0.287,0.538,2,0.188,0.439,0.168,1.231
BCI,1995-2000,bc4,Terminalia,amazonia,9,0.776,1.054,0.649,1.782,9,1.325,1.163,0.673,2.116,28,0.592,0.602,0.398,0.93
